== estimates ==
level,src_size,window_log,chain_log,hash_log,search_log,min_match,strategy,est_cctx_bytes
5,65536,17,16,17,3,4,ZSTD_greedy,1303568
5,262142,19,18,19,3,5,ZSTD_greedy,3662864
5,131071,18,17,18,5,5,ZSTD_greedy,2090000
9,65536,17,16,17,5,4,ZSTD_lazy2,1303568
9,262142,19,19,20,4,5,ZSTD_lazy2,6808592
9,131071,18,18,19,5,4,ZSTD_lazy2,3662864
19,65536,17,18,17,5,3,ZSTD_btultra2,2883726
19,262142,19,20,20,7,3,ZSTD_btultra2,9699470
19,131071,18,19,19,8,3,ZSTD_btultra2,5505166
== levels_static 4MiB ==
workspace,level,alone_baseless,prefix_based,exact_full_frames,exact_prefix_frames,cpu_ns_alone_baseless,cpu_ns_prefix_based
4194304,9,26476645,12910263,261,5257,1658125000,3268238000
== groups ordinary ==
level,stored_total,retained_frames,raw_total,cpu_ns,frame_total
1,1023947,72,3027326,7146000,1022795
3,1024981,72,3027326,8991000,1023829
5,1004550,72,3027326,20318000,1003398
9,967439,72,3027326,49747000,966287
12,963430,72,3027326,135225000,962278
15,899780,72,3027326,242259000,898628
19,876699,72,3027326,550665000,875547
22,876133,72,3027326,664554000,874981
== groups pooled ==
level,stored_total,retained_frames,raw_total,cpu_ns,frame_total
1,2047211,1706,4850523,16567000,2019822
3,2043563,1706,4850523,18108000,2016174
5,2003412,1706,4850523,28361000,1976023
9,2002083,1706,4850523,48375000,1974694
12,1946004,1706,4850523,196373000,1918615
15,1938295,1706,4850523,472169000,1910906
19,1932237,1706,4850523,898540000,1904848
22,1932237,1706,4850523,895641000,1904848
DONE
