B1	core-examples	0	0.093	cargo +1.85.1 build --release --offline --locked --manifest-path core/Cargo.toml --examples
B2	client	0	8.085	cargo +1.85.1 build --release --offline --locked
D1	c1-empty	0	0.641	/Users/yifanxu/Ephemeral-AI-Lab/layerfs/core/target/release/examples/filesystem_timing_c1 --case empty --output /Users/yifanxu/Ephemeral-AI-Lab/layerfs/docs/roadmap/0.1/0.1.7/evidence/phase1-execution-20260918T090000Z/rounds/c1-rebaseline/before/output/D1/c1-empty
D2	c1-directory-update	0	0.011	/Users/yifanxu/Ephemeral-AI-Lab/layerfs/core/target/release/examples/filesystem_timing_c1 --case directory-update --output /Users/yifanxu/Ephemeral-AI-Lab/layerfs/docs/roadmap/0.1/0.1.7/evidence/phase1-execution-20260918T090000Z/rounds/c1-rebaseline/before/output/D2/c1-directory-update
D3	c1-inode-update	0	0.010	/Users/yifanxu/Ephemeral-AI-Lab/layerfs/core/target/release/examples/filesystem_timing_c1 --case inode-update --output /Users/yifanxu/Ephemeral-AI-Lab/layerfs/docs/roadmap/0.1/0.1.7/evidence/phase1-execution-20260918T090000Z/rounds/c1-rebaseline/before/output/D3/c1-inode-update
D4	c1-hardlink-move	0	0.007	/Users/yifanxu/Ephemeral-AI-Lab/layerfs/core/target/release/examples/filesystem_timing_c1 --case hardlink-move --output /Users/yifanxu/Ephemeral-AI-Lab/layerfs/docs/roadmap/0.1/0.1.7/evidence/phase1-execution-20260918T090000Z/rounds/c1-rebaseline/before/output/D4/c1-hardlink-move
D5	c1-subtree-remove	0	0.007	/Users/yifanxu/Ephemeral-AI-Lab/layerfs/core/target/release/examples/filesystem_timing_c1 --case subtree-remove --output /Users/yifanxu/Ephemeral-AI-Lab/layerfs/docs/roadmap/0.1/0.1.7/evidence/phase1-execution-20260918T090000Z/rounds/c1-rebaseline/before/output/D5/c1-subtree-remove
D6	c1-attributes	0	0.005	/Users/yifanxu/Ephemeral-AI-Lab/layerfs/core/target/release/examples/filesystem_timing_c1 --case attributes --output /Users/yifanxu/Ephemeral-AI-Lab/layerfs/docs/roadmap/0.1/0.1.7/evidence/phase1-execution-20260918T090000Z/rounds/c1-rebaseline/before/output/D6/c1-attributes
D7	fs-c1-directory-update	101	0.608	/Users/yifanxu/Ephemeral-AI-Lab/layerfs/core/target/release/examples/measure_filesystem --mode c1 --case directory-update --entries 200 --output /Users/yifanxu/Ephemeral-AI-Lab/layerfs/docs/roadmap/0.1/0.1.7/evidence/phase1-execution-20260918T090000Z/rounds/c1-rebaseline/before/output/D7/fs-c1
D8	fs-c2-directory-update	101	0.010	/Users/yifanxu/Ephemeral-AI-Lab/layerfs/core/target/release/examples/measure_filesystem --mode c2 --case directory-update --entries 200 --output /Users/yifanxu/Ephemeral-AI-Lab/layerfs/docs/roadmap/0.1/0.1.7/evidence/phase1-execution-20260918T090000Z/rounds/c1-rebaseline/before/output/D8/fs-c2
