kind	name	length	id	encoding-or-result
profile	selected-k64-f64-dir256k	32	b0ebb845409ef995a5fa454bb23d10a80c6ecf44deb7832ca2ce1213eb0f4ba1	preimage:layerfs/mapping-profile/v1\0,u32be(64),u32be(64),u32be(262144),u32be(8388608)
object	file-leaf-1	96	8df24aac88f08a5f5091d7bbdd967a1893eec66c8617fd71ddf3c67c0fa16807	hex:4c46534f0100000057000000534c4653344d41500000010200000001b8b33f1120d8f8739a1bb786d13aa42a324e280e659c8888868c0de3edd2be0a0000000343bf78cf00944d56aa2f6ff8de5e585e6a1d61764be26aaca754b6d1f84cb94b
object	file-root-1	89	4ace818344f023240cfa00b375b08bfc08822cfcb82d71f67877337511e6d07e	hex:4c46534f01000000500000004c4c4653344d4150000001010000000000000000000000030000000000000001000000000100000000000000038df24aac88f08a5f5091d7bbdd967a1893eec66c8617fd71ddf3c67c0fa16807
object	file-leaf-64	4380	9d20e9db6efd18ef0113d248593ac7ea95c26bd85955b4339cadaca17568a64d	recipe:independent-byte-packer:file-leaf-64
object	file-root-64	89	7b25076c90b681e15e3652341b795ee69b698c1c76421feea7485aa2a823caa9	hex:4c46534f01000000500000004c4c4653344d4150000001010000000000000000000000c00000000000000040000000000100000000000000c09d20e9db6efd18ef0113d248593ac7ea95c26bd85955b4339cadaca17568a64d
object	file-root-65	129	c4319492d202e89011794e4e39fbecbe6e6669e069ade47a2b21176718011407	hex:4c46534f0100000078000000744c4653344d4150000001010000000000000000000000c30000000000000041000000000200000000000000c09d20e9db6efd18ef0113d248593ac7ea95c26bd85955b4339cadaca17568a64d00000000000000c38df24aac88f08a5f5091d7bbdd967a1893eec66c8617fd71ddf3c67c0fa16807
object	file-root-4096	2609	b04d308ecedcba8a286d8f34d78939e5fddae3acd5410541c3f9044fd906aa52	recipe:independent-byte-packer:file-root-4096
object	file-branch-4097-0	2589	783d927da2b3a3a0f765398e725c7b7e4334230380d379077c4e3c5a012417c3	recipe:independent-byte-packer:file-branch-4097-0
object	file-branch-4097-1	69	f731aef7a6f6d0b0cf26ef13ef7f5e9cdc3d48835bfe34d70a62b548fd94ae54	hex:4c46534f010000003c000000384c4653344d415000000107010000000100000000000000038df24aac88f08a5f5091d7bbdd967a1893eec66c8617fd71ddf3c67c0fa16807
object	file-root-4097	129	33e108735e98b5a8ae50852f0b774f29c2f8de503d997494c8b922473b9d23f5	hex:4c46534f0100000078000000744c4653344d415000000101000000000000000000003003000000000000100101000000020000000000003000783d927da2b3a3a0f765398e725c7b7e4334230380d379077c4e3c5a012417c30000000000003003f731aef7a6f6d0b0cf26ef13ef7f5e9cdc3d48835bfe34d70a62b548fd94ae54
