case_id	size_label	pristine_bytes	op	kind	offset	delete_len	insert_len	payload
1mib-insert-band00	1mib	1048576	insert	band00	32446	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band01	1mib	1048576	insert	band01	120673	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band02	1mib	1048576	insert	band02	135843	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band03	1mib	1048576	insert	band03	205247	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band04	1mib	1048576	insert	band04	308495	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band05	1mib	1048576	insert	band05	346985	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band06	1mib	1048576	insert	band06	393744	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band07	1mib	1048576	insert	band07	464039	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band08	1mib	1048576	insert	band08	555969	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band09	1mib	1048576	insert	band09	651295	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band10	1mib	1048576	insert	band10	710092	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band11	1mib	1048576	insert	band11	781907	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band12	1mib	1048576	insert	band12	850259	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band13	1mib	1048576	insert	band13	886400	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band14	1mib	1048576	insert	band14	932831	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-band15	1mib	1048576	insert	band15	989058	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band00	1mib	1048576	overwrite	band00	62893	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band01	1mib	1048576	overwrite	band01	89673	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band02	1mib	1048576	overwrite	band02	182927	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band03	1mib	1048576	overwrite	band03	260157	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band04	1mib	1048576	overwrite	band04	303781	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band05	1mib	1048576	overwrite	band05	328445	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band06	1mib	1048576	overwrite	band06	426752	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band07	1mib	1048576	overwrite	band07	501218	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band08	1mib	1048576	overwrite	band08	524382	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band09	1mib	1048576	overwrite	band09	614400	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band10	1mib	1048576	overwrite	band10	702585	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band11	1mib	1048576	overwrite	band11	775206	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band12	1mib	1048576	overwrite	band12	798341	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band13	1mib	1048576	overwrite	band13	897928	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band14	1mib	1048576	overwrite	band14	967809	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-band15	1mib	1048576	overwrite	band15	1016765	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-delete-band00	1mib	1048576	delete	band00	45395	4096	0	-
1mib-delete-band01	1mib	1048576	delete	band01	96547	4096	0	-
1mib-delete-band02	1mib	1048576	delete	band02	135511	4096	0	-
1mib-delete-band03	1mib	1048576	delete	band03	206873	4096	0	-
1mib-delete-band04	1mib	1048576	delete	band04	283084	4096	0	-
1mib-delete-band05	1mib	1048576	delete	band05	387756	4096	0	-
1mib-delete-band06	1mib	1048576	delete	band06	432372	4096	0	-
1mib-delete-band07	1mib	1048576	delete	band07	515238	4096	0	-
1mib-delete-band08	1mib	1048576	delete	band08	528464	4096	0	-
1mib-delete-band09	1mib	1048576	delete	band09	623460	4096	0	-
1mib-delete-band10	1mib	1048576	delete	band10	666301	4096	0	-
1mib-delete-band11	1mib	1048576	delete	band11	739662	4096	0	-
1mib-delete-band12	1mib	1048576	delete	band12	842891	4096	0	-
1mib-delete-band13	1mib	1048576	delete	band13	849320	4096	0	-
1mib-delete-band14	1mib	1048576	delete	band14	914474	4096	0	-
1mib-delete-band15	1mib	1048576	delete	band15	1009685	4096	0	-
