path,scope,before,after,delta,physical,status
core/crates/layerfs-content/src/error.rs,core,0,116,116,168,added
core/crates/layerfs-content/src/file/cdc/gear.rs,core,0,494,494,538,added
core/crates/layerfs-content/src/file/cdc/mod.rs,core,0,5,5,10,added
core/crates/layerfs-content/src/file/content.rs,core,0,195,195,249,added
core/crates/layerfs-content/src/file/mapping/build.rs,core,0,236,236,267,added
core/crates/layerfs-content/src/file/mapping/codec.rs,core,0,303,303,334,added
core/crates/layerfs-content/src/file/mapping/mod.rs,core,0,15,15,20,added
core/crates/layerfs-content/src/file/mapping/read.rs,core,0,210,210,241,added
core/crates/layerfs-content/src/file/mapping/types.rs,core,0,182,182,248,added
core/crates/layerfs-content/src/file/mod.rs,core,0,10,10,16,added
core/crates/layerfs-content/src/file/read.rs,core,0,111,111,127,added
core/crates/layerfs-content/src/lib.rs,core,0,16,16,33,added
core/crates/layerfs-content/src/object/access.rs,core,0,18,18,36,added
core/crates/layerfs-content/src/object/codec.rs,core,0,95,95,126,added
core/crates/layerfs-content/src/object/id.rs,core,0,89,89,119,added
core/crates/layerfs-content/src/object/mod.rs,core,0,11,11,17,added
core/crates/layerfs-content/src/object/output.rs,core,0,111,111,170,added
core/crates/layerfs-content/src/policy.rs,core,0,105,105,165,added
core/crates/layerfs-storage/sql/schema.sql,core,0,44,44,56,added
core/crates/layerfs-storage/src/cas/batch.rs,core,0,58,58,87,added
core/crates/layerfs-storage/src/cas/dependencies.rs,core,0,62,62,88,added
core/crates/layerfs-storage/src/cas/finish.rs,core,0,16,16,25,added
core/crates/layerfs-storage/src/cas/membership.rs,core,0,42,42,59,added
core/crates/layerfs-storage/src/cas/mod.rs,core,0,11,11,16,added
core/crates/layerfs-storage/src/cas/owner.rs,core,0,322,322,391,added
core/crates/layerfs-storage/src/cas/read.rs,core,0,65,65,83,added
core/crates/layerfs-storage/src/cas/save.rs,core,0,40,40,56,added
core/crates/layerfs-storage/src/cas/store.rs,core,0,315,315,407,added
core/crates/layerfs-storage/src/encoding/codec.rs,core,0,367,367,461,added
core/crates/layerfs-storage/src/encoding/decode.rs,core,0,103,103,115,added
core/crates/layerfs-storage/src/encoding/full.rs,core,0,112,112,132,added
core/crates/layerfs-storage/src/encoding/mod.rs,core,0,9,9,15,added
core/crates/layerfs-storage/src/error.rs,core,0,93,93,135,added
core/crates/layerfs-storage/src/lib.rs,core,0,11,11,30,added
core/crates/layerfs-storage/src/pack/assemble.rs,core,0,195,195,218,added
core/crates/layerfs-storage/src/pack/layout.rs,core,0,321,321,392,added
core/crates/layerfs-storage/src/pack/mod.rs,core,0,10,10,15,added
core/crates/layerfs-storage/src/pack/placement.rs,core,0,123,123,159,added
core/crates/layerfs-storage/src/policy.rs,core,0,148,148,219,added
core/crates/layerfs-storage/src/sqlite/cleanup.rs,core,0,58,58,77,added
core/crates/layerfs-storage/src/sqlite/connection.rs,core,0,50,50,72,added
core/crates/layerfs-storage/src/sqlite/lookup.rs,core,0,118,118,150,added
core/crates/layerfs-storage/src/sqlite/mod.rs,core,0,8,8,13,added
core/crates/layerfs-storage/src/sqlite/schema.rs,core,0,187,187,212,added
core/crates/layerfs-storage/src/sqlite/write.rs,core,0,83,83,117,added
core/crates/layerfs-telemetry/src/lib.rs,core,3,3,0,16,unchanged
core/crates/layerfs-telemetry/src/timer/format.rs,core,69,69,0,82,unchanged
core/crates/layerfs-telemetry/src/timer/json.rs,core,115,115,0,136,unchanged
core/crates/layerfs-telemetry/src/timer/mod.rs,core,8,8,0,25,unchanged
core/crates/layerfs-telemetry/src/timer/recording.rs,core,232,232,0,291,unchanged
core/crates/layerfs-telemetry/src/timer/report.rs,core,170,170,0,249,unchanged
core/crates/layerfs-telemetry/src/timer/scope.rs,core,135,135,0,206,unchanged
crates/layerfs-cli/src/bin/layerfs.rs,reference,43,43,0,43,unchanged
crates/layerfs-cli/src/lib.rs,reference,791,791,0,834,unchanged
crates/layerfs-cli/src/runtime.rs,reference,308,308,0,342,unchanged
crates/layerfs-content/src/error.rs,reference,160,160,0,165,unchanged
crates/layerfs-content/src/file/cdc/gear.rs,reference,494,494,0,519,unchanged
crates/layerfs-content/src/file/cdc/mod.rs,reference,5,5,0,133,unchanged
crates/layerfs-content/src/file/content.rs,reference,277,277,0,300,unchanged
crates/layerfs-content/src/file/extent.rs,reference,153,153,0,161,unchanged
crates/layerfs-content/src/file/extent_codec.rs,reference,235,235,0,267,unchanged
crates/layerfs-content/src/file/mod.rs,reference,5,5,0,5,unchanged
crates/layerfs-content/src/file/rope/build.rs,reference,300,300,0,367,unchanged
crates/layerfs-content/src/file/rope/diff.rs,reference,386,386,0,403,unchanged
crates/layerfs-content/src/file/rope/edit.rs,reference,749,749,0,904,unchanged
crates/layerfs-content/src/file/rope/mod.rs,reference,15,15,0,16,unchanged
crates/layerfs-content/src/file/rope/read.rs,reference,493,493,0,515,unchanged
crates/layerfs-content/src/file/rope/state.rs,reference,225,225,0,245,unchanged
crates/layerfs-content/src/file/rope/validate.rs,reference,127,127,0,132,unchanged
crates/layerfs-content/src/filesystem/apply.rs,reference,870,870,0,1411,unchanged
crates/layerfs-content/src/filesystem/change.rs,reference,409,409,0,571,unchanged
crates/layerfs-content/src/filesystem/diff.rs,reference,433,433,0,452,unchanged
crates/layerfs-content/src/filesystem/mod.rs,reference,27,27,0,28,unchanged
crates/layerfs-content/src/filesystem/read.rs,reference,121,121,0,129,unchanged
crates/layerfs-content/src/filesystem/reconcile.rs,reference,911,911,0,962,unchanged
crates/layerfs-content/src/filesystem/resolve.rs,reference,82,82,0,88,unchanged
crates/layerfs-content/src/filesystem/root.rs,reference,46,46,0,47,unchanged
