group	metric	scope	observed	limit_or_control	status	authority
G5-0	whole_harness_rows	gate	8	8	PASS	G5-0-TERMINAL-AUDIT-v9.json
G5-0	complete_wall_ns	gate	9254244292	20000000000	PASS	G5-0-TERMINAL-AUDIT-v9.json
G5-0	maximum_rss_bytes	gate	14090240	20971520	PASS	G5-0-TERMINAL-AUDIT-v9.json
G5-0	q_high_water_bytes	gate	691675..705901	terminal=0	PASS	G5-0-TERMINAL-AUDIT-v9.json
G5-1	complete_wall_ns	screen	10544126458	20000000000	PASS	G5-1-TERMINAL-AUDIT-v27.json
G5-1	complete_wall_ns	gate	95098449250	150000000000	PASS	G5-1-TERMINAL-AUDIT-v27.json
G5-1	product_rows_children	gate	200/200_reaped	200/200	PASS	G5-1-TERMINAL-AUDIT-v27.json
G5-1	maximum_rss_bytes	gate	18563072	20971520	PASS	G5-1-TERMINAL-AUDIT-v27.json
G5-1	first_edit_verified_p50_ns	G4_vs_G5_Verified	149390708/149684374	no_material_regression	PASS	PRIMARY-ANALYSIS-v27.json
G5-1	first_edit_trusted_p50_p95_ns	G5_Verified_vs_Trusted	8801396/9927791	paired_improvement>=9000bp	PASS	PRIMARY-ANALYSIS-v27.json
G5-1	trusted_paired_median_improvement_bp	seven_operations	9377..9479	>=9000	PASS	PRIMARY-ANALYSIS-v27.json
G5-2	complete_wall_ns	screen	477269834	19999999999	PASS	G5-2-TERMINAL-AUDIT-v3.json
G5-2	complete_wall_ns	gate	589957208	150000000000	PASS	G5-2-TERMINAL-AUDIT-v3.json
G5-2	maximum_rss_bytes	gate	8093696	33554432	PASS	G5-2-TERMINAL-AUDIT-v3.json
G5-2	exact_p50_p95_ns	250000_byte_gate	827583/827583	5000000/8000000	PASS	PRIMARY-v3.json
G5-2	sparse_p50_p95_ns	250000_byte_gate	1264708/1468584	6000000/10000000	PASS	PRIMARY-v3.json
G5-2	ordinary_contended_fallback_ns	250000_byte_gate	1775250/2806459	ordinary_bound=329237000	PASS	PRIMARY-v3.json
G5-2	mailbox_conservation	gate	submitted169_started70_published70_coalesced99	one_in_flight_one_pending	PASS	PRIMARY-v3.json
G5-2	projection_sqlite_write_tx_commit	gate	0/0/0	0/0/0	PASS	G5-2-TERMINAL-AUDIT-v3.json
G5-3	input_adoption_wall_ns	reused_sealed_inputs	12397458	<1000000000_target	PASS	INPUT-ADOPTION-TERMINAL-v3.json
G5-3	zero_row_forecast_ns	screen/gate	15420000000/54070000000	19999999999/150000000000	PASS	ZERO-ROW-FORECAST-v3.json
G5-3	complete_wall_ns	screen	506333708	19999999999	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5-3	complete_wall_ns	gate	4782020708	150000000000	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5-3	maximum_rss_bytes	gate	18923520	20971520	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5-3	retained_revision_states	gate	1000	1000	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5-3	checkpoint_revisions	gate	1,10,100,1000	exact	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5-3	full_reconstruction_revisions	gate	1,10,100,1000,1001	exact	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5-3	concurrency_writer_tx_commit_busy_locked	10MiB_2R1W	1/1/0/0	exact	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5-3	cache_pages_writer_reader1_reader2	10MiB_2R1W	1280/1280/1280	page4096_reduction8847360	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5-3	terminal_q_fd_residue	gate	0;5_to_5;0/0/0	exact	PASS	G5-3-TERMINAL-AUDIT-v3.json
G5	terminal_disposition	narrowed_benchmark_mechanisms	PASS	G6_eligible_not_started	PASS	G5-TERMINAL-AUDIT-v1.json
